Destination Zones,,Up_to_500g,X501g_to_1kg,X1.01kg_to_2kg,X2.01kg_to_3kg,X3.01kg_to_4kg,X4.01kg_to_5kg,X5.01kg_to_7kg,X7.01kg_to_10kg,X10.01kg_to_15kg,X15.01kg_to_22kg,Basic,Per_Kg,<-Over22kg
N0,Sydney Metro,8.41,10.7,13.1,13.36,16.61,17.09,20.86,27.48,33.23,47.21,17.4,2.64,
N1,Sydney,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
GF,Gosford,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
WG,Wollongong,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
NC,Newcastle,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
CB,Canberra,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
N3,Albury,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
N4,Tweed Heads,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
N2,NSW Country,16.45,20.62,25.74,25.74,31.75,33.43,39.34,56.45,69.95,102.56,32.28,6.33,
V0,Melbourne Metro,5.78,6.5,7.61,8.05,9.42,9.87,11.39,16.63,19.79,27.42,10.03,0.9,
V1,Melbourne,8.99,10.64,12.44,12.7,15.56,15.85,17.71,23.35,27.38,37.57,15.97,2,
GL,Geelong,8.99,10.64,12.44,12.7,15.56,15.85,17.71,23.35,27.38,37.57,15.97,2,
BR,Ballarat,8.99,10.64,12.44,12.7,15.56,15.85,17.71,23.35,27.38,37.57,15.97,2,
V3,Wodonga,8.99,10.64,12.44,12.7,15.56,15.85,17.71,23.35,27.38,37.57,15.97,2,
V2,VIC Country,15.35,18.75,23.09,23.09,28.57,30.1,35.32,50.25,61.94,90.18,29.05,5.49,
Q0,Brisbane Metro,8.41,10.7,13.1,13.36,16.61,17.09,20.86,27.48,33.23,47.21,17.4,2.64,
Q1,Brisbane,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
IP,Ipswich,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
GC,Gold Coast,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
Q5,Coolangatta,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
SC,Sunshine Coast,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
Q2,QLD Country Near,16.45,20.62,25.74,25.74,31.75,33.43,39.34,56.45,69.95,102.56,32.28,6.33,
Q3,QLD Country Mid,16.45,20.62,25.74,25.74,31.75,33.43,39.34,56.45,69.95,102.56,32.28,6.33,
Q4,QLD Country North,16.45,20.62,25.74,25.74,31.75,33.43,39.34,56.45,69.95,106.2,32.28,6.33,
S0,Adelaide Metro,8.41,10.7,13.1,13.36,16.61,17.09,20.86,27.48,33.23,47.21,17.4,2.64,
S1,Adelaide,10.18,12.75,15.75,16.38,19.81,20.17,22.87,30.6,38.27,51.99,20.33,2.91,
S2,SA Country,16.45,20.62,25.74,25.74,31.75,33.43,39.34,56.45,69.95,102.56,32.28,6.33,
W0,Perth Metro,9.25,12.11,16.06,16.37,21.09,21.89,24.88,33.95,41.3,59.48,21.88,3.47,
W1,Perth,11.56,15.6,20.69,21.51,27.5,28.55,32.97,46.04,59.24,83.33,28.77,5.04,
W2,WA Country South,17.15,23.81,31.89,31.89,41.36,43.57,52.28,77.96,99.03,149.57,42.06,9.73,
W3,WA Country North,17.15,23.81,31.89,31.89,41.36,43.57,52.28,77.96,99.03,149.57,42.06,9.73,
T0,Tasmania Select,10.37,12.75,15.75,16.38,19.81,20.57,23.32,31.19,39.02,53.01,20.73,2.97,
T1,Tasmania,16.45,20.62,25.74,25.74,31.75,33.43,39.34,56.45,69.95,102.56,32.28,6.33,
NT1,NT Near,17.15,23.81,31.89,31.89,41.36,43.57,52.28,77.96,99.03,149.57,42.06,9.73,
NT2,NT Remote,17.15,23.81,31.89,31.89,41.36,43.57,52.28,77.96,99.03,149.57,42.06,9.73,
NF,Norfolk Is*,17.15,23.81,31.89,31.89,41.36,43.57,52.28,77.96,99.03,149.57,42.06,9.73,
W4,Christmas & Cocos Is*,17.15,23.81,31.89,31.89,41.36,43.57,52.28,77.96,99.03,149.57,42.06,9.73,
AAT,Aust Antarctic Territory*,17.15,23.81,31.89,31.89,41.36,43.57,52.28,77.96,99.03,149.57,42.06,9.73,
